"PERIODE";"IAS_brut";"IAS_lisse";"Incidence_Sentinelles"
2010-03-14;7,4;1,9;2
2010-03-15;2,7;1,9;2
2010-03-16;1,5;2;2
2010-03-17;1,2;2;2
2010-03-18;1,4;2,1;2
2010-03-19;3;2,2;2
2010-03-20;4;2,3;2
2010-03-21;243,1;2,4;2
2010-03-22;2,9;2,5;1,6
2010-03-23;1,2;2,5;1,6
2010-03-24;4,5;2,4;1,6
2010-03-25;2;2,3;1,6
2010-03-26;1,7;2,2;1,6
2010-03-27;2,9;2,2;1,6
2010-03-28;0,1;2;1,6
2010-03-29;2,3;1,9;1,6
2010-03-30;1,4;1,8;1,6
2010-03-31;1,9;1,7;1,6
2010-04-01;3,3;1,6;1,6
2010-04-02;0,6;1,6;1,6
2010-04-03;1,1;1,5;1,6
2010-04-04;11;1,4;1,6
2010-04-05;19,4;1,3;1,4
2010-04-06;1,4;1,3;1,4
2010-04-07;1,4;1,3;1,4
2010-04-08;1,5;1,4;1,4
2010-04-09;0,6;1,4;1,4
2010-04-10;2,3;1,4;1,4
2010-04-11;1,6;1,4;1,4
2010-04-12;2,4;1,5;0,9
2010-04-13;1,8;1,5;0,9
2010-04-14;0,5;1,4;0,9
2010-04-15;1,6;1,4;0,9
2010-04-16;2,2;1,3;0,9
2010-04-17;2;1,2;0,9
2010-04-18;68,5;1,2;0,9
2010-04-19;0,3;1,2;0,9
2010-04-20;0,6;1,2;0,9
2010-04-21;2,3;1,2;0,9
2010-04-22;1,9;1,2;0,9
2010-04-23;1,8;1,2;0,9
2010-04-24;0,4;1,2;0,9
2010-04-25;8,5;1,2;0,9
2010-04-26;1,5;1,1;0,6
2010-04-27;1,1;1;0,6
2010-04-28;0,7;1;0,6
2010-04-29;1,2;0,9;0,6
2010-04-30;0,7;0,9;0,6
2010-05-01;3,7;0,9;0,6
2010-05-02;0,6;0,9;0,6
2010-05-03;0,8;0,9;1
2010-05-04;0,7;0,9;1
2010-05-05;1,3;0,9;1
2010-05-06;1,1;1;1
2010-05-07;0,7;1;1
2010-05-08;11,9;1;1
2010-05-09;0,9;1,1;1
2010-05-10;1,9;1,1;0,6
2010-05-11;0,4;1,1;0,6
2010-05-12;1,5;1,2;0,6
2010-05-13;124,7;1,3;0,6
2010-05-14;0,8;1,4;0,6
2010-05-15;1,4;1,4;0,6
2010-05-16;24,5;1,5;0,6
2010-05-17;2,2;1,5;0,6
2010-05-18;2,1;1,5;0,6
2010-05-19;1,8;1,4;0,6
2010-05-20;0,8;1,3;0,6
2010-05-21;1;1,2;0,6
2010-05-22;0,8;1,1;0,6
2010-05-23;0,5;1;0,6
2010-05-24;7,4;0,9;0,9
2010-05-25;0,7;0,8;0,9
2010-05-26;1,3;0,8;0,9
2010-05-27;0,7;0,8;0,9
2010-05-28;0,7;0,8;0,9
2010-05-29;0,6;0,8;0,9
2010-05-30;26,4;0,8;0,9
2010-05-31;1,5;0,8;1,4
2010-06-01;0,9;0,8;1,4
2010-06-02;0,7;0,7;1,4
2010-06-03;0,4;0,7;1,4
2010-06-04;0,5;0,7;1,4
2010-06-05;0,6;0,8;1,4
2010-06-06;0;0,8;1,4
2010-06-07;1;0,9;0,9
2010-06-08;1;0,9;0,9
2010-06-09;1,7;1;0,9
2010-06-10;0,8;1,1;0,9
2010-06-11;0,9;1,1;0,9
2010-06-12;1,2;1,1;0,9
2010-06-13;1,8;1,1;0,9
2010-06-14;1,6;1,1;0,9
2010-06-15;0,9;1;0,9
2010-06-16;1,2;1;0,9
2010-06-17;0,7;1;0,9
2010-06-18;1,1;1;0,9
2010-06-19;0,3;1;0,9
2010-06-20;10,6;1;0,9
2010-06-21;1;1;1,9
2010-06-22;1,5;1;1,9
2010-06-23;1,2;1;1,9
2010-06-24;1,4;0,9;1,9
2010-06-25;0,5;0,8;1,9
2010-06-26;0,9;0,8;1,9
2010-06-27;33,7;0,7;1,9
2010-06-28;0,7;0,6;1,3
2010-06-29;0,2;0,6;1,3
2010-06-30;0,5;0,6;1,3
2010-07-01;1;0,6;1,3
2010-07-02;0,9;0,6;1,3
2010-07-03;0,5;0,6;1,3
2010-07-04;1,2;0,7;1,3
2010-07-05;0,6;0,7;0,6
2010-07-06;0,7;0,7;0,6
2010-07-07;0,9;0,7;0,6
2010-07-08;0,6;0,7;0,6
2010-07-09;0,6;0,8;0,6
2010-07-10;1;0,8;0,6
2010-07-11;47,3;0,8;0,6
2010-07-12;0,7;0,7;0,3
2010-07-13;1;0,7;0,3
2010-07-14;0;0,7;0,3
2010-07-15;0,5;0,6;0,3
2010-07-16;0,6;0,6;0,3
2010-07-17;0,3;0,5;0,3
2010-07-18;1,1;0,5;0,3
2010-07-19;0,6;0,5;1
2010-07-20;0,4;0,5;1
2010-07-21;0,4;0,5;1
2010-07-22;0,5;0,5;1
2010-07-23;0,7;0,5;1
2010-07-24;0,6;0,5;1
2010-07-25;1,8;0,5;1
2010-07-26;0,5;0,5;0,9
2010-07-27;0,4;0,5;0,9
2010-07-28;0,5;0,6;0,9
2010-07-29;0,4;0,6;0,9
2010-07-30;0,5;0,6;0,9
2010-07-31;1,5;0,7;0,9
2010-08-01;1,5;0,7;0,9
2010-08-02;1,1;0,7;0,6
2010-08-03;0,8;0,7;0,6
2010-08-04;1,3;0,7;0,6
2010-08-05;0,4;0,6;0,6
2010-08-06;0,4;0,6;0,6
2010-08-07;0,3;0,5;0,6
2010-08-08;1,4;0,4;0,6
2010-08-09;0,8;0,4;0,1
2010-08-10;0,2;0,4;0,1
2010-08-11;0,3;0,3;0,1
2010-08-12;0,5;0,4;0,1
2010-08-13;0,2;0,4;0,1
2010-08-14;0,3;0,4;0,1
2010-08-15;2,2;0,5;0,1
2010-08-16;0,6;0,5;0,7
2010-08-17;0,6;0,6;0,7
2010-08-18;0,9;0,6;0,7
2010-08-19;0,8;0,7;0,7
2010-08-20;0,2;0,7;0,7
2010-08-21;1,3;0,7;0,7
2010-08-22;6;0,8;0,7
2010-08-23;0,9;0,8;1,1
2010-08-24;1;0,9;1,1
2010-08-25;0,7;0,9;1,1
2010-08-26;1,2;0,9;1,1
2010-08-27;0,8;0,9;1,1
2010-08-28;1,9;0,9;1,1
2010-08-29;0,2;0,8;1,1
2010-08-30;0,3;0,8;1
2010-08-31;1;0,8;1
2010-09-01;0,7;0,9;1
2010-09-02;1,3;0,9;1
2010-09-03;0,8;1;1
2010-09-04;0,8;1;1
2010-09-05;11,6;1,1;1
2010-09-06;2,8;1,1;1,1
2010-09-07;0,8;1,1;1,1
2010-09-08;0,6;1,2;1,1
2010-09-09;2,4;1,2;1,1
2010-09-10;0,5;1,3;1,1
2010-09-11;1,1;1,4;1,1
2010-09-12;0,1;1,6;1,1
2010-09-13;3,3;1,8;1,1
2010-09-14;1,1;2;1,1
2010-09-15;1,8;2,2;1,1
2010-09-16;5;2,4;1,1
2010-09-17;2,6;2,5;1,1
2010-09-18;2;2,6;1,1
2010-09-19;97,4;2,6;1,1
2010-09-20;1,7;2,7;2
2010-09-21;3,7;2,7;2
2010-09-22;4,5;2,9;2
2010-09-23;1,2;3,1;2
2010-09-24;2,8;3,5;2
2010-09-25;2,4;3,8;2
2010-09-26;261,2;4,2;2
2010-09-27;9,7;4,6;2,7
2010-09-28;5,9;4,9;2,7
2010-09-29;5;5,1;2,7
2010-09-30;2,9;5,1;2,7
2010-10-01;5,7;5;2,7
2010-10-02;4,3;4,7;2,7
2010-10-03;531,6;4,3;2,7
2010-10-04;4,7;4;4,1
2010-10-05;5,8;3,7;4,1
2010-10-06;2,1;3,3;4,1
2010-10-07;3,6;3;4,1
2010-10-08;1,8;2,8;4,1
2010-10-09;1,4;2,6;4,1
2010-10-10;41,3;2,5;4,1
2010-10-11;3,3;2,4;4
2010-10-12;1,1;2,5;4
2010-10-13;4;2,6;4
2010-10-14;2,2;2,7;4
2010-10-15;3,8;2,8;4
2010-10-16;2,4;2,8;4
2010-10-17;133,9;2,8;4
2010-10-18;4,2;2,7;4,3
2010-10-19;2,8;2,6;4,3
2010-10-20;1,8;2,5;4,3
2010-10-21;2,4;2,4;4,3
2010-10-22;1,4;2,4;4,3
2010-10-23;1,7;2,5;4,3
2010-10-24;129,9;2,5;4,3
2010-10-25;4,2;2,5;3,6
2010-10-26;2;2,6;3,6
2010-10-27;6,1;2,6;3,6
2010-10-28;1,6;2,5;3,6
2010-10-29;1,4;2,3;3,6
2010-10-30;2,4;2,1;3,6
2010-10-31;31,1;2;3,6
2010-11-01;22,9;1,8;3,6
2010-11-02;1,1;1,7;3,6
2010-11-03;2;1,7;3,6
2010-11-04;2,1;1,7;3,6
2010-11-05;1,8;1,8;3,6
2010-11-06;0,5;1,9;3,6
2010-11-07;25,2;1,9;3,6
2010-11-08;4,7;2;2
2010-11-09;2,1;2;2
2010-11-10;1,5;1,9;2
2010-11-11;181,2;1,9;2
2010-11-12;1,2;1,7;2
2010-11-13;1,5;1,6;2
2010-11-14;0,1;1,6;2
2010-11-15;2,1;1,6;3,6
2010-11-16;1;1,7;3,6
2010-11-17;1;1,8;3,6
2010-11-18;2,4;2,1;3,6
2010-11-19;3;2,4;3,6
2010-11-20;3,7;2,8;3,6
2010-11-21;5;3,2;3,6
2010-11-22;4,1;3,5;6
2010-11-23;4;3,8;6
2010-11-24;5,9;3,9;6
2010-11-25;3,6;4,1;6
2010-11-26;1,5;4,3;6
2010-11-27;7,1;4,5;6
2010-11-28;0,9;4,7;6
2010-11-29;6,7;5;8,4
2010-11-30;5,6;5,4;8,4
2010-12-01;6,6;5,8;8,4
2010-12-02;3,9;6,2;8,4
2010-12-03;6;6,6;8,4
2010-12-04;7;7,1;8,4
2010-12-05;109,1;7,5;8,4
2010-12-06;9,2;8;12,6
2010-12-07;8,7;8,4;12,6
2010-12-08;11,5;8,9;12,6
2010-12-09;8,5;9,5;12,6
2010-12-10;6;10,3;12,6
2010-12-11;9;11,4;12,6
2010-12-12;25,8;12,7;12,6
2010-12-13;21,7;14,2;23,9
2010-12-14;10,4;16;23,9
2010-12-15;17,2;18;23,9
2010-12-16;40,1;20;23,9
2010-12-17;15;22;23,9
2010-12-18;11,2;23,7;23,9
2010-12-19;2926,7;25,5;23,9
2010-12-20;51,1;27,4;36,1
2010-12-21;21;30;36,1
2010-12-22;28,5;34,6;36,1
2010-12-23;29,4;42,6;36,1
2010-12-24;27,7;54,7;36,1
2010-12-25;7795;70,6;36,1
2010-12-26;26968,4;90,5;36,1
2010-12-27;161,4;113,1;51,9
2010-12-28;181;137,1;51,9
2010-12-29;107,3;164,3;51,9
2010-12-30;136,4;194,4;51,9
2010-12-31;125,1;227,2;51,9
2011-01-01;8508,4;263,2;51,9
2011-01-02;10059,7;299,1;51,9
2011-01-03;611,7;327,6;70
2011-01-04;429,8;346;70
2011-01-05;308,1;352,6;70
2011-01-06;382;346,9;70
2011-01-07;182,8;333,4;70
2011-01-08;197,2;316,5;70
2011-01-09;25022;298,3;70
2011-01-10;515,8;281,8;69,9
2011-01-11;270,4;270,8;69,9
2011-01-12;249;264,6;69,9
2011-01-13;232,2;259,8;69,9
2011-01-14;171,4;253;69,9
2011-01-15;114,4;243;69,9
2011-01-16;2027,9;231,8;69,9
2011-01-17;516,8;222,5;62,4
2011-01-18;269,3;219,8;62,4
2011-01-19;148,7;224,6;62,4
2011-01-20;176,3;233,7;62,4
2011-01-21;136,8;244,4;62,4
2011-01-22;102,4;254,3;62,4
2011-01-23;34643,6;262,7;62,4
2011-01-24;850,3;271,2;62,9
2011-01-25;301,7;281,1;62,9
2011-01-26;205,4;290;62,9
2011-01-27;291,8;296,1;62,9
2011-01-28;176,5;300,1;62,9
2011-01-29;127,2;302,7;62,9
2011-01-30;6343,3;305,7;62,9
2011-01-31;636,2;312,6;62,9
2011-02-01;315,9;321,4;62,9
2011-02-02;406,8;323,9;62,9
2011-02-03;347,6;315,3;62,9
2011-02-04;243,2;293,8;62,9
2011-02-05;114,4;261;62,9
2011-02-06;16486,4;223,1;62,9
2011-02-07;371,5;189,4;49
2011-02-08;183,6;163,8;49
2011-02-09;117,2;144,5;49
2011-02-10;116;130,2;49
2011-02-11;58,9;119;49
2011-02-12;36,3;108,4;49
2011-02-13;2739,4;97,6;49
2011-02-14;238,3;88,6;33,7
2011-02-15;76,8;81,9;33,7
2011-02-16;110,3;75,6;33,7
2011-02-17;57,6;68,4;33,7
2011-02-18;33,2;60,2;33,7
2011-02-19;15,3;51,1;33,7
2011-02-20;1369,6;42,7;33,7
2011-02-21;78,3;36,5;17,7
2011-02-22;35,7;32,6;17,7
2011-02-23;22,6;30;17,7
2011-02-24;26,4;27,8;17,7
2011-02-25;13,3;25,4;17,7
2011-02-26;23,1;22,4;17,7
2011-02-27;5056,5;19,3;17,7
2011-02-28;27,5;16,8;12,3
2011-03-01;17,2;14,8;12,3
2011-03-02;13,2;13,1;12,3
2011-03-03;6,1;11,4;12,3
2011-03-04;7,6;9,8;12,3
2011-03-05;4,9;8,3;12,3
2011-03-06;1089,9;7;12,3
2011-03-07;12,8;6;7,6
2011-03-08;3,2;5,3;7,6
2011-03-09;5,4;4,8;7,6
2011-03-10;3,9;4,3;7,6
2011-03-11;2,7;4;7,6
2011-03-12;2,4;3,7;7,6
2011-03-13;16,8;3,4;7,6
2011-03-14;3,6;3,3;3,3
2011-03-15;4,1;3,2;3,3
2011-03-16;4;3;3,3
2011-03-17;1,9;2,9;3,3
2011-03-18;3,1;2,7;3,3
2011-03-19;2;2,6;3,3
2011-03-20;0;2,4;3,3
2011-03-21;2,3;2,3;2,9
2011-03-22;2,8;2,2;2,9
2011-03-23;1;2,1;2,9
2011-03-24;4,3;2,1;2,9
2011-03-25;1;2;2,9
2011-03-26;3,2;2;2,9
2011-03-27;99,4;2;2,9
2011-03-28;1,6;2;2
2011-03-29;1,8;2;2
2011-03-30;1,3;2,1;2
2011-03-31;2,6;2,1;2
2011-04-01;2,5;2,2;2
2011-04-02;3,6;2,2;2
2011-04-03;51,3;2,1;2
2011-04-04;1,6;2,1;1,7
2011-04-05;3,1;2;1,7
2011-04-06;1;1,9;1,7
2011-04-07;2,3;1,8;1,7
2011-04-08;1,2;1,7;1,7
2011-04-09;1,3;1,7;1,7
2011-04-10;106;1,7;1,7
2011-04-11;1,4;1,7;1,4
2011-04-12;2,3;1,7;1,4
2011-04-13;1,6;1,7;1,4
2011-04-14;2,1;1,7;1,4
2011-04-15;1,1;1,7;1,4
2011-04-16;1,8;1,7;1,4
2011-04-17;1,4;1,7;1,4
2011-04-18;2,7;1,7;1,1
2011-04-19;1,1;1,7;1,1
2011-04-20;1,6;1,6;1,1
2011-04-21;3,9;1,6;1,1
2011-04-22;0,9;1,5;1,1
2011-04-23;0,4;1,3;1,1
2011-04-24;50,4;1,2;1,1
2011-04-25;15,1;1,1;0,6
2011-04-26;1,2;1;0,6
2011-04-27;0,8;1;0,6
2011-04-28;0,9;0,9;0,6
2011-04-29;1,4;0,9;0,6
2011-04-30;0,6;0,9;0,6
2011-05-01;14,3;0,8;0,6
2011-05-02;0,5;0,8;1,1
2011-05-03;0,5;0,8;1,1
2011-05-04;0,9;0,8;1,1
2011-05-05;1,3;0,8;1,1
2011-05-06;1,1;0,9;1,1
2011-05-07;0,5;0,9;1,1
2011-05-08;18,2;0,9;1,1
2011-05-09;0,8;0,9;1,3
2011-05-10;1;0,9;1,3
2011-05-11;0,8;1;1,3
2011-05-12;1,7;1;1,3
2011-05-13;0,9;1;1,3
2011-05-14;0,4;1;1,3
2011-05-15;92,3;1;1,3
2011-05-16;1,6;1;0,9
2011-05-17;1;0,9;0,9
2011-05-18;0,6;0,9;0,9
2011-05-19;1;0,9;0,9
2011-05-20;1,2;0,9;0,9
2011-05-21;0,3;0,8;0,9
2011-05-22;7,8;0,8;0,9
2011-05-23;2;0,8;0,6
2011-05-24;0,3;0,8;0,6
2011-05-25;0,7;0,7;0,6
2011-05-26;0,5;0,8;0,6
2011-05-27;1;0,8;0,6
2011-05-28;0,6;0,8;0,6
2011-05-29;2,1;0,8;0,6
2011-05-30;1;0,8;0,7
2011-05-31;1,1;0,8;0,7
2011-06-01;0,6;0,8;0,7
2011-06-02;12;0,9;0,7
2011-06-03;0,7;0,9;0,7
2011-06-04;0,7;0,9;0,7
2011-06-05;10,5;0,9;0,7
2011-06-06;1;1;0,7
2011-06-07;1,5;1;0,7
2011-06-08;0,9;1;0,7
2011-06-09;0,9;1;0,7
2011-06-10;1;1;0,7
2011-06-11;0,8;1;0,7
2011-06-12;7;1,1;0,7
2011-06-13;3,3;1,1;0,9
2011-06-14;1;1,2;0,9
2011-06-15;1,2;1,2;0,9
2011-06-16;1,4;1,3;0,9
2011-06-17;1,3;1,3;0,9
2011-06-18;1,3;1,3;0,9
2011-06-19;166,6;1,2;0,9
2011-06-20;1,7;1,1;0,9
2011-06-21;1,3;1,1;0,9
2011-06-22;0,4;1;0,9
2011-06-23;0,9;1;0,9
2011-06-24;0,8;0,9;0,9
2011-06-25;0,9;0,9;0,9
2011-06-26;83,5;0,9;0,9
2011-06-27;0,7;0,9;0,3
2011-06-28;1,4;0,9;0,3
2011-06-29;0,6;0,9;0,3
2011-06-30;1,1;0,9;0,3
2011-07-01;1,1;0,8;0,3
2011-07-02;0,7;0,8;0,3
2011-07-03;0;0,8;0,3
2011-07-04;0,4;0,7;0,9
2011-07-05;0,5;0,7;0,9
2011-07-06;0,9;0,7;0,9
2011-07-07;0,8;0,7;0,9
2011-07-08;1,3;0,7;0,9
2011-07-09;0,6;0,7;0,9
2011-07-10;13,7;0,7;0,9
2011-07-11;0,4;0,7;0,4
2011-07-12;0,8;0,7;0,4
2011-07-13;0,4;0,7;0,4
2011-07-14;0,2;0,7;0,4
2011-07-15;1;0,7;0,4
2011-07-16;0,9;0,8;0,4
2011-07-17;140,5;0,8;0,4
2011-07-18;0,6;0,8;0,6
2011-07-19;0,9;0,9;0,6
2011-07-20;1,1;0,9;0,6
2011-07-21;1,1;0,8;0,6
2011-07-22;0,5;0,8;0,6
2011-07-23;0,7;0,8;0,6
2011-07-24;7,5;0,8;0,6
2011-07-25;1,1;0,7;0,9
2011-07-26;0,7;0,7;0,9
2011-07-27;0,4;0,7;0,9
2011-07-28;0,9;0,6;0,9
2011-07-29;0,5;0,6;0,9
2011-07-30;0,7;0,6;0,9
